X,Y,OBJECTID,Objecttype,Type_velo,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Objectcode,Gebruik,Aantal_plaatsen,Naam
495076.79582856,6664410.20974238,9197,VELOSTATION,DUBBELZIJDIG,PLEIN,Sint-Bartholomeusstraat,122,,Merksem,2170,VE_0000220,IN_GEBRUIK,30,220 't Dokske
491349.04153394,6662673.34266577,9198,VELOSTATION,DUBBELZIJDIG,VOETPAD,Binnenvaartstraat,,to Cadixstraat,Antwerpen,2000,VE_0000222,IN_GEBRUIK,36,222 Cadix Oost
490148.628192759,6662678.09578179,9199,VELOSTATION,DUBBELZIJDIG,VOETPAD,Rijnkaai,15,,Antwerpen,2000,VE_0000223,IN_GEBRUIK,36,223 Red Star Line
490899.204724798,6662887.96572794,9200,VELOSTATION,ENKELZIJDIG,VOETPAD,Indiëstraat,3,,Antwerpen,2030,VE_0000224,IN_GEBRUIK,36,224 Indiëstraat
490659.040656913,6662182.32471423,9201,VELOSTATION,DUBBELZIJDIG,VOETPAD,Verbindingsdok-Oostkaai,9,to 9,Antwerpen,2000,VE_0000225,IN_GEBRUIK,36,225 Verbindingsdok Eilandje
493124.228884445,6662784.77879658,9202,VELOSTATION,DUBBELZIJDIG,GROENZONE,Noordschippersdok,,terug naar Ijzerlaan,Antwerpen,2060,VE_0000226,IN_GEBRUIK,36,226 Noordschippersdok
494758.139327026,6662585.85596014,9203,VELOSTATION,ENKELZIJDIG,PLEIN,Van Cortbeemdelei,113,to 113 oh plein,Deurne,2100,VE_0000227,IN_GEBRUIK,24,227 Amstel
495513.026420906,6662042.25982279,9204,VELOSTATION,ENKELZIJDIG,PLEIN,Van Deynsestraat,120,to 120,Deurne,2100,VE_0000228,IN_GEBRUIK,24,228 Van Heetvelde
495588.879776106,6661419.15782394,9205,VELOSTATION,DUBBELZIJDIG,GROENZONE,Jozef Nellenslei,26,,Deurne,2100,VE_0000229,IN_GEBRUIK,36,229 Jozef Nellens
496705.46635179,6661931.98478488,9206,VELOSTATION,DUBBELZIJDIG,PLEIN,Sint-Fredegandusstraat,80,,Deurne,2100,VE_0000230,IN_GEBRUIK,36,230 Bosuil
497356.349661127,6661954.17036124,9207,VELOSTATION,DUBBELZIJDIG,GROENZONE,Gallifortlei,278,,Deurne,2100,VE_0000231,IN_GEBRUIK,36,231 den Antwerp
498551.55382837,6661810.71996488,9208,VELOSTATION,DUBBELZIJDIG,PLEIN,Wim Saerensplein,25,,Deurne,2100,VE_0000232,IN_GEBRUIK,36,232 Wim Saerens
497160.887428718,6661210.26082443,9209,VELOSTATION,DUBBELZIJDIG,VOETPAD,Gallifortlei,198,,Deurne,2100,VE_0000233,IN_GEBRUIK,36,233 Gallifort
496616.76429391,6660693.17641467,9210,VELOSTATION,ENKELZIJDIG,VOETPAD,Jan Brochovenstraat,28,,Deurne,2100,VE_0000234,IN_GEBRUIK,36,234 Deurne Atheneum
495913.457180658,6660274.89069053,9211,VELOSTATION,DUBBELZIJDIG,PLEIN,Cogelsplein,19-21,,Deurne,2100,VE_0000235,IN_GEBRUIK,36,235 Cogelsplein
496485.595417888,6660154.70012184,9212,VELOSTATION,DUBBELZIJDIG,PLEIN,Maurice Dequeeckerplein,3,to 3,Deurne,2100,VE_0000236,IN_GEBRUIK,36,236 Districthuis Deurne
